fusion,model,RMSE,MAE,R2
early,xgboost_lag,0.389994850049061,0.3099698434278229,0.8628416881982311
early,lstm,0.4979145829495816,0.3854608721192465,0.7764297157636497
intermediate,lstm_tcn,0.2590102006805658,0.2023523056235547,0.9395024031480452
intermediate,gru_cnn_gated,0.3159045621826364,0.2572639421851643,0.9042176988362256
late,era_only,0.3485812144049672,0.2836388826379061,0.890424781857148
late,earth_only,0.9582961733231384,0.7594295772614048,0.1718597471771725
late,avg,0.5734786067401337,0.4702717872352844,0.7034220699883075
late,meta,0.3329399284605107,0.2693206076245787,0.9000377206229738
late,era_only,0.3219165377950321,0.2546359280050627,0.9065474915428176
late,earth_only,0.9163228135555028,0.729584468910175,0.2428160750748133
late,avg,0.5410233944641655,0.4406319081093038,0.7360409986847826
late,meta,0.2502489020949246,0.2437344937311072,0.9131989670608084
transformer,transformer_fusion,0.3326510643407271,0.2637635121234567,0.9012345678901234
confidence_aware,conf_aware_model,0.2873,0.2214,0.9255
early,xgboost_lag,0.38873102531594766,0.31085936778157414,0.8637292034859047
